"","Transaction","Item"
"293",241,"Tea"
"294",242,"Juice"
"295",242,"Tea"
"296",242,"Alfajores"
"297",243,"Cake"
"298",243,"Muffin"
"299",243,"Soup"
"300",244,"Hot chocolate"
"301",244,"Cake"
"302",245,"Cake"
"303",245,"Cookies"
"304",246,"Tea"
"305",247,"Alfajores"
"306",247,"Juice"
"307",248,"Tea"
"308",248,"Soup"
"309",249,"Hot chocolate"
"310",250,"Cookies"
"311",251,"Medialuna"
"312",252,"Eggs"
"313",253,"Scandinavian"
"314",254,"Medialuna"
"315",255,"Pastry"
"316",257,"Pastry"
"317",258,"Pastry"
"318",259,"Pastry"
"319",262,"Hot chocolate"
"320",262,"Pastry"
"321",263,"Coke"
"322",264,"Jam"
"323",265,"Tea"
"324",266,"Pastry"
"325",267,"Alfajores"
"326",267,"Farm House"
"327",268,"Tea"
"328",268,"Pastry"
"329",270,"Jam"
"330",271,"Tea"
"331",271,"Pastry"
"332",272,"Farm House"
"333",274,"Pastry"
"334",275,"Farm House"
"335",276,"Pastry"
"336",277,"Farm House"
"337",278,"Pastry"
"338",280,"Pastry"
"339",282,"Pastry"
"340",283,"Pastry"
"341",284,"Farm House"
"342",285,"Farm House"
"343",285,"Farm House"
"344",285,"Pastry"
"345",286,"Juice"
"346",286,"Alfajores"
"347",287,"Pastry"
"348",288,"Alfajores"
"349",290,"Cookies"
"350",292,"Cookies"
"351",293,"Hearty & Seasonal"
"352",295,"Jam"
"353",295,"Tartine"
"354",296,"Farm House"
"355",296,"Scandinavian"
"356",297,"Hearty & Seasonal"
"357",297,"Muffin"
"358",297,"Scandinavian"
"359",298,"Tartine"
"360",298,"Pick and Mix Bowls"
"361",298,"Coke"
"362",300,"Scandinavian"
"363",300,"Farm House"
"364",300,"Alfajores"
"365",301,"Juice"
"366",301,"Mineral water"
"367",301,"Soup"
"368",302,"Soup"
"369",302,"Tea"
"370",303,"Juice"
"371",303,"Tea"
"372",303,"Cookies"
"373",303,"Soup"
"374",304,"Hearty & Seasonal"
"375",304,"Tea"
"376",305,"Fudge"
"377",306,"Mineral water"
"378",306,"Juice"
"379",306,"Soup"
"380",307,"Hearty & Seasonal"
"381",308,"Hearty & Seasonal"
"382",308,"Smoothies"
"383",309,"Hearty & Seasonal"
"384",309,"Tea"
"385",310,"Sandwich"
"386",310,"Sandwich"
"387",311,"Cookies"
"388",311,"Farm House"
"389",312,"Soup"
"390",312,"Tea"
"391",312,"Juice"
"392",313,"Soup"
"393",317,"Cookies"
"394",317,"Tea"
"395",318,"Soup"
"396",318,"Hearty & Seasonal"
"397",321,"Tea"
"398",323,"Tea"
"399",324,"Tea"
"400",326,"Fudge"
"401",327,"Tea"
"402",328,"Soup"
"403",328,"Tea"
"404",329,"Juice"
"405",330,"Alfajores"
"406",332,"Alfajores"
"407",333,"Juice"
"408",333,"Alfajores"
"409",333,"Cookies"
"410",333,"Pick and Mix Bowls"
"411",333,"Mineral water"
"412",334,"Alfajores"
"413",335,"Fudge"
"414",336,"Mighty Protein"
"415",336,"Juice"
"416",337,"Mineral water"
"417",337,"Alfajores"
"418",338,"Mighty Protein"
"419",339,"Alfajores"
"420",341,"Medialuna"
"421",341,"Medialuna"
"422",342,"Medialuna"
"423",343,"Farm House"
"424",344,"Pastry"
"425",345,"Farm House"
"426",346,"Pastry"
"427",346,"Pastry"
"428",347,"Medialuna"
"429",348,"Tea"
"430",348,"Sandwich"
"431",350,"Jam"
"432",350,"Farm House"
"433",351,"Focaccia"
"434",353,"Tartine"
"435",353,"Pastry"
"436",353,"My-5 Fruit Shoot"
"437",354,"Farm House"
"438",354,"Pastry"
"439",355,"Pastry"
"440",356,"Pastry"
"441",357,"Jam"
"442",358,"Farm House"
"443",359,"Pastry"
"444",360,"Tea"
"445",361,"Jam"
"446",363,"Pastry"
"447",363,"Medialuna"
"448",363,"Medialuna"
"449",365,"Tea"
"450",367,"Pastry"
"451",368,"Pastry"
"452",369,"Farm House"
"453",370,"Tea"
"454",371,"Brownie"
"455",371,"Alfajores"
"456",371,"Fudge"
"457",372,"Fudge"
"458",372,"Cookies"
"459",375,"Jam"
"460",375,"Pastry"
"461",376,"Soup"
"462",377,"Smoothies"
"463",377,"Soup"
"464",377,"Hearty & Seasonal"
"465",377,"Pastry"
"466",378,"Pastry"
"467",379,"Pastry"
"468",379,"Medialuna"
"469",380,"Tea"
"470",381,"Cookies"
"471",382,"Hearty & Seasonal"
"472",382,"Pick and Mix Bowls"
"473",382,"Sandwich"
"474",382,"Focaccia"
"475",384,"Sandwich"
"476",384,"Brownie"
"477",385,"Brownie"
"478",385,"Cookies"
"479",388,"Sandwich"
"480",389,"Hot chocolate"
"481",390,"Tea"
"482",391,"Sandwich"
"483",391,"Brownie"
"484",392,"Brownie"
"485",392,"Pastry"
"486",392,"Focaccia"
"487",392,"Farm House"
"488",393,"Cake"
"489",393,"Focaccia"
"490",394,"Soup"
"491",394,"Hearty & Seasonal"
"492",394,"Mineral water"
"493",395,"Hearty & Seasonal"
"494",396,"Hearty & Seasonal"
"495",397,"Pastry"
"496",399,"Tea"
"497",399,"Cake"
"498",400,"Soup"
"499",401,"Focaccia"
"500",401,"Fudge"
"501",402,"Hot chocolate"
"502",402,"Alfajores"
"503",403,"Brownie"
"504",403,"Pastry"
"505",403,"Cake"
"506",404,"Medialuna"
"507",404,"Alfajores"
"508",404,"Dulce de Leche"
"509",405,"Dulce de Leche"
"510",405,"Alfajores"
"511",406,"Cake"
"512",407,"Cake"
"513",409,"Sandwich"
"514",410,"Alfajores"
"515",410,"Medialuna"
"516",412,"Alfajores"
"517",413,"Tea"
"518",415,"Dulce de Leche"
"519",416,"Farm House"
"520",417,"Fudge"
"521",419,"Alfajores"
"522",419,"Juice"
"523",419,"Ella's Kitchen Pouches"
"524",419,"Brownie"
"525",420,"Alfajores"
"526",421,"Alfajores"
"527",421,"Brownie"
"528",421,"Cookies"
"529",421,"Juice"
"530",422,"Cake"
"531",422,"Cookies"
"532",423,"Pick and Mix Bowls"
"533",425,"Farm House"
"534",426,"Tea"
"535",428,"Focaccia"
"536",428,"Farm House"
"537",429,"Dulce de Leche"
"538",430,"Juice"
"539",430,"My-5 Fruit Shoot"
"540",430,"Ella's Kitchen Pouches"
"541",430,"Cookies"
"542",432,"Hot chocolate"
"543",437,"Medialuna"
"544",438,"Tea"
"545",438,"Jam"
"546",439,"Farm House"
"547",442,"Medialuna"
"548",444,"Medialuna"
"549",444,"Pastry"
"550",444,"Medialuna"
"551",445,"Jam"
"552",449,"Hot chocolate"
"553",450,"Medialuna"
"554",451,"Jam"
"555",452,"Jam"
"556",454,"Farm House"
"557",456,"Tea"
"558",456,"Pastry"
"559",459,"Pastry"
"560",459,"Brownie"
"561",460,"Farm House"
"562",462,"Tea"
"563",462,"Honey"
"564",462,"Cookies"
"565",463,"Tea"
"566",465,"Brownie"
"567",469,"Tea"
"568",469,"Tea"
"569",470,"Tea"
"570",475,"The BART"
"571",476,"Brownie"
"572",478,"Brownie"
"573",479,"Mineral water"
"574",479,"Tartine"
"575",480,"Brownie"
"576",481,"Brownie"
"577",481,"Juice"
"578",482,"Tea"
"579",482,"Alfajores"
"580",482,"Medialuna"
"581",482,"Pastry"
"582",482,"Jam"
"583",484,"Fudge"
"584",484,"Fudge"
"585",485,"Pick and Mix Bowls"
"586",486,"Pastry"
"587",487,"Soup"
"588",487,"Scandinavian"
"589",487,"Mineral water"
"590",488,"Juice"
"591",488,"Mineral water"
"592",488,"Sandwich"
"593",488,"Pick and Mix Bowls"
"594",489,"Pastry"
"595",490,"Hearty & Seasonal"
"596",490,"Hearty & Seasonal"
"597",491,"Hearty & Seasonal"
"598",491,"Mineral water"
"599",492,"Tartine"
"600",492,"Sandwich"
"601",492,"Brownie"
"602",493,"Brownie"
"603",494,"Alfajores"
"604",494,"Tartine"
"605",495,"Mighty Protein"
"606",497,"Hot chocolate"
"607",498,"Soup"
"608",498,"Jam"
"609",499,"Mineral water"
"610",499,"Brownie"
"611",500,"Scandinavian"
"612",501,"Scandinavian"
"613",503,"Hot chocolate"
"614",503,"Brownie"
"615",503,"Hearty & Seasonal"
"616",504,"Tea"
"617",504,"Cake"
"618",505,"Medialuna"
"619",506,"Alfajores"
"620",506,"Tea"
"621",507,"Juice"
"622",507,"Brownie"
"623",507,"Alfajores"
"624",508,"Sandwich"
"625",509,"Soup"
"626",510,"Soup"
"627",512,"Tea"
"628",512,"Brownie"
"629",512,"Cookies"
"630",513,"Brownie"
"631",514,"Brownie"
"632",515,"Cookies"
"633",515,"Jam"
"634",517,"Tea"
"635",517,"Brownie"
"636",517,"Tea"
"637",518,"Alfajores"
"638",518,"Medialuna"
"639",518,"Scandinavian"
"640",519,"Hot chocolate"
"641",519,"Alfajores"
"642",519,"Cookies"
"643",520,"Brownie"
"644",521,"Fudge"
"645",522,"Tea"
"646",522,"Brownie"
"647",523,"Dulce de Leche"
"648",523,"Fudge"
"649",524,"Scandinavian"
"650",524,"Fudge"
"651",524,"Granola"
"652",524,"Pastry"
"653",525,"Fudge"
"654",526,"Hot chocolate"
"655",526,"Medialuna"
"656",526,"Medialuna"
"657",528,"Medialuna"
"658",529,"Medialuna"
"659",529,"Jam"
"660",530,"Jam"
"661",530,"Brownie"
"662",531,"Jam"
"663",532,"Scandinavian"
"664",533,"Cookies"
"665",534,"Scandinavian"
"666",537,"Jam"
"667",537,"Brownie"
"668",539,"Brownie"
"669",539,"Hot chocolate"
"670",541,"Medialuna"
"671",542,"Hot chocolate"
"672",542,"Brownie"
"673",543,"Scandinavian"
"674",544,"Basket"
"675",545,"Brownie"
"676",546,"Cake"
"677",546,"Fudge"
"678",547,"Hot chocolate"
"679",547,"Basket"
"680",548,"Scandinavian"
"681",549,"Scandinavian"
"682",550,"Cake"
"683",550,"Medialuna"
"684",551,"Medialuna"
"685",552,"Pastry"
"686",553,"Brownie"
"687",554,"Medialuna"
"688",554,"Farm House"
"689",555,"Medialuna"
"690",556,"Brownie"
"691",556,"Medialuna"
"692",556,"Hot chocolate"
"693",556,"Smoothies"
"694",557,"Tea"
"695",557,"Brownie"
"696",557,"Medialuna"
"697",558,"Medialuna"
"698",558,"Medialuna"
"699",558,"Cookies"
"700",559,"Medialuna"
"701",560,"Fudge"
"702",562,"Tea"
"703",563,"Cookies"
"704",564,"Pastry"
"705",564,"Brownie"
"706",566,"Tea"
"707",568,"Medialuna"
"708",569,"My-5 Fruit Shoot"
"709",569,"Brownie"
"710",570,"Fudge"
"711",572,"Basket"
"712",573,"Farm House"
"713",574,"Farm House"
"714",575,"Brownie"
"715",576,"Scandinavian"
"716",576,"Brownie"
"717",576,"My-5 Fruit Shoot"
"718",577,"Tartine"
"719",577,"Hot chocolate"
"720",577,"Brownie"
"721",578,"Brownie"
"722",578,"Hot chocolate"
"723",579,"Jam"
"724",579,"Fudge"
"725",581,"Fudge"
"726",583,"Mighty Protein"
"727",583,"Hearty & Seasonal"
"728",583,"Tea"
"729",583,"Cake"
"730",585,"Scandinavian"
"731",586,"Cake"
"732",586,"Victorian Sponge"
"733",586,"Scandinavian"
"734",587,"Tea"
"735",587,"Cake"
"736",591,"Frittata"
"737",592,"My-5 Fruit Shoot"
"738",592,"Brownie"
"739",593,"Focaccia"
"740",593,"Fairy Doors"
"741",594,"Tea"
"742",595,"Hot chocolate"
"743",595,"Hearty & Seasonal"
"744",595,"Pick and Mix Bowls"
"745",595,"Brownie"
"746",596,"Frittata"
"747",597,"Brownie"
"748",598,"Frittata"
"749",599,"Scandinavian"
"750",601,"Farm House"
"751",602,"Pick and Mix Bowls"
"752",602,"Jam"
"753",602,"Soup"
"754",602,"Brownie"
"755",603,"Hearty & Seasonal"
"756",603,"Tea"
"757",605,"Frittata"
"758",606,"Scandinavian"
"759",608,"Tartine"
"760",608,"Hot chocolate"
"761",609,"Mighty Protein"
"762",610,"Frittata"
"763",611,"Scandinavian"
"764",612,"Hearty & Seasonal"
"765",612,"Mineral water"
"766",613,"Scandinavian"
"767",616,"Hearty & Seasonal"
"768",616,"Soup"
"769",617,"Brownie"
"770",617,"Cake"
"771",617,"Tea"
"772",618,"Mighty Protein"
"773",620,"Tea"
"774",620,"Brownie"
"775",620,"Soup"
"776",621,"Cake"
"777",622,"Hot chocolate"
"778",622,"Cake"
"779",623,"Hearty & Seasonal"
"780",625,"Frittata"
"781",625,"Brownie"
"782",626,"Sandwich"
"783",626,"Frittata"
"784",626,"Coke"
"785",626,"Mineral water"
"786",626,"Brownie"
"787",627,"Granola"
"788",627,"Scandinavian"
"789",628,"Coke"
"790",629,"Tea"
"791",629,"Tea"
"792",629,"Brownie"
"793",629,"Cake"
"794",630,"Fudge"
"795",632,"Brownie"
"796",633,"Cake"
"797",634,"Tea"
"798",635,"Soup"
"799",635,"Sandwich"
"800",635,"Cake"
"801",636,"Brownie"
"802",637,"Brownie"
"803",638,"Brownie"
"804",639,"Brownie"
"805",640,"Soup"
"806",640,"Brownie"
"807",641,"Fudge"
"808",642,"Focaccia"
"809",643,"Farm House"
"810",643,"Jam"
"811",644,"Hot chocolate"
"812",644,"Brownie"
"813",645,"Hot chocolate"
"814",646,"Brownie"
"815",647,"Medialuna"
"816",647,"Pastry"
"817",650,"Pastry"
"818",651,"Mineral water"
"819",652,"Pastry"
"820",652,"Hot chocolate"
"821",655,"Jam"
"822",656,"Pastry"
"823",657,"Medialuna"
"824",657,"Focaccia"
"825",657,"Hearty & Seasonal"
"826",658,"Farm House"
"827",658,"Jam"
"828",659,"Farm House"
"829",660,"Tea"
"830",660,"Pastry"
"831",660,"Medialuna"
"832",661,"Pastry"
"833",661,"Medialuna"
"834",662,"Hot chocolate"
"835",662,"Basket"
"836",662,"Farm House"
"837",663,"Pastry"
"838",663,"Farm House"
"839",664,"Hot chocolate"
"840",664,"My-5 Fruit Shoot"
"841",665,"Pastry"
"842",665,"Medialuna"
"843",665,"Muffin"
"844",666,"Farm House"
"845",667,"Muffin"
"846",667,"Pastry"
"847",667,"Focaccia"
"848",668,"Tea"
"849",670,"Focaccia"
"850",671,"Hot chocolate"
"851",671,"Pastry"
"852",671,"Jam"
"853",673,"Pastry"
"854",674,"Tea"
"855",675,"Hot chocolate"
"856",675,"Mineral water"
"857",678,"Jam"
"858",680,"Muffin"
"859",684,"Muffin"
"860",684,"Hot chocolate"
"861",685,"Muffin"
"862",685,"Fudge"
"863",688,"Farm House"
"864",689,"Muffin"
"865",690,"Focaccia"
"866",691,"Tea"
"867",692,"Hot chocolate"
"868",693,"Tartine"
"869",693,"Pick and Mix Bowls"
"870",693,"Jam"
"871",695,"Jam"
"872",696,"Tartine"
"873",698,"Mineral water"
"874",698,"Juice"
"875",698,"Tartine"
"876",698,"Pick and Mix Bowls"
"877",699,"Tea"
"878",699,"Juice"
"879",700,"Cake"
"880",701,"Farm House"
"881",702,"Farm House"
"882",703,"Cake"
"883",703,"Brownie"
"884",704,"Focaccia"
"885",705,"Tea"
"886",705,"Muffin"
"887",707,"Tea"
"888",708,"Hearty & Seasonal"
"889",708,"Cake"
"890",709,"Tea"
"891",709,"Cake"
"892",710,"Mighty Protein"
"893",711,"Hot chocolate"
"894",711,"Muffin"
"895",712,"Soup"
"896",712,"Mighty Protein"
"897",713,"Jam"
"898",714,"Alfajores"
"899",715,"Cake"
"900",715,"Hot chocolate"
"901",715,"Alfajores"
"902",716,"Hot chocolate"
"903",716,"Tea"
"904",716,"Muffin"
"905",717,"Brownie"
"906",718,"Cake"
"907",719,"Victorian Sponge"
"908",719,"Alfajores"
"909",719,"Tea"
"910",721,"Tartine"
"911",721,"Tea"
"912",721,"Tartine"
"913",722,"Mighty Protein"
"914",722,"Tea"
"915",723,"Fudge"
"916",724,"Medialuna"
"917",724,"Tartine"
"918",725,"Pastry"
"919",726,"Pastry"
"920",727,"Tea"
"921",727,"Alfajores"
"922",727,"Alfajores"
"923",728,"Alfajores"
"924",728,"Alfajores"
"925",729,"Alfajores"
"926",730,"Alfajores"
"927",730,"Pastry"
"928",732,"Alfajores"
"929",733,"Pastry"
"930",733,"Tea"
"931",733,"Alfajores"
"932",733,"Hearty & Seasonal"
"933",734,"Tea"
"934",734,"Sandwich"
"935",735,"Empanadas"
"936",735,"Tea"
"937",736,"Alfajores"
"938",736,"Alfajores"
"939",736,"Tea"
"940",737,"Alfajores"
"941",738,"Pastry"
"942",738,"Dulce de Leche"
"943",739,"Pastry"
"944",740,"Farm House"
"945",741,"Scandinavian"
"946",741,"Medialuna"
"947",743,"Pastry"
"948",743,"Tea"
"949",743,"Alfajores"
"950",744,"Pastry"
"951",745,"Pastry"
"952",745,"Muffin"
"953",745,"Farm House"
"954",746,"Medialuna"
"955",746,"Tea"
"956",747,"Alfajores"
"957",748,"Sandwich"
"958",748,"Tea"
"959",749,"Tea"
"960",750,"Pastry"
"961",751,"Muffin"
"962",751,"Alfajores"
"963",751,"Empanadas"
"964",757,"Pastry"
"965",757,"Medialuna"
"966",757,"Tea"
"967",758,"Tea"
"968",759,"Muffin"
"969",760,"Muffin"
"970",761,"Pastry"
"971",761,"Medialuna"
"972",762,"Muffin"
"973",763,"Muffin"
"974",763,"Hot chocolate"
"975",763,"Scandinavian"
"976",764,"Farm House"
"977",765,"Muffin"
"978",768,"Cookies"
"979",770,"Muffin"
"980",771,"Tea"
"981",771,"Keeping It Local"
"982",772,"Medialuna"
"983",774,"Tartine"
"984",774,"Scandinavian"
"985",775,"Tea"
"986",777,"Coke"
"987",778,"Muffin"
"988",779,"Medialuna"
"989",779,"Muffin"
"990",779,"Scandinavian"
"991",781,"Coke"
"992",782,"Scandinavian"
"993",785,"Scandinavian"
"994",786,"Fudge"
"995",786,"Fudge"
"996",787,"Soup"
"997",787,"Hearty & Seasonal"
"998",788,"Coke"
"999",789,"Cookies"
"1000",789,"Tea"
"1001",790,"Pastry"
"1002",790,"Tea"
"1003",792,"Medialuna"
"1004",793,"Muffin"
"1005",793,"Sandwich"
"1006",793,"Soup"
"1007",794,"Tea"
"1008",794,"Muffin"
"1009",795,"Alfajores"
"1010",797,"Medialuna"
"1011",800,"Medialuna"
"1012",802,"Empanadas"
"1013",802,"Scandinavian"
"1014",803,"Tartine"
"1015",804,"Tea"
"1016",805,"Scandinavian"
"1017",806,"Muffin"
"1018",807,"Scandinavian"
"1019",813,"Cookies"
"1020",813,"Scandinavian"
"1021",814,"Empanadas"
"1022",814,"Medialuna"
"1023",815,"Pastry"
"1024",817,"Pastry"
"1025",817,"Tea"
"1026",818,"Pastry"
"1027",820,"Keeping It Local"
"1028",821,"Fudge"
"1029",822,"Tartine"
"1030",824,"Hot chocolate"
"1031",824,"Pastry"
"1032",824,"Medialuna"
"1033",825,"Alfajores"
"1034",828,"Medialuna"
"1035",829,"Coke"
"1036",830,"Alfajores"
"1037",831,"Muffin"
"1038",832,"Farm House"
"1039",832,"Brownie"
"1040",832,"Fudge"
"1041",834,"Tea"
"1042",834,"Muffin"
"1043",834,"Farm House"
"1044",835,"Pastry"
"1045",836,"Pastry"
"1046",836,"Brownie"
"1047",837,"Medialuna"
"1048",839,"Pastry"
"1049",839,"Juice"
"1050",841,"Tea"
"1051",842,"Tea"
"1052",842,"Alfajores"
"1053",843,"Alfajores"
"1054",844,"Scandinavian"
"1055",845,"Pastry"
"1056",845,"Medialuna"
"1057",846,"Brownie"
"1058",847,"Farm House"
"1059",848,"Cookies"
"1060",849,"Soup"
"1061",850,"Art Tray"
"1062",850,"Brownie"
"1063",852,"Farm House"
"1064",853,"Soup"
"1065",853,"Art Tray"
"1066",853,"Alfajores"
"1067",853,"Frittata"
"1068",854,"Sandwich"
"1069",855,"Tea"
"1070",856,"Farm House"
"1071",857,"Scandinavian"
"1072",857,"Muffin"
"1073",858,"Farm House"
"1074",859,"Scandinavian"
"1075",860,"Soup"
"1076",861,"Hearty & Seasonal"
"1077",861,"Tea"
"1078",862,"Hot chocolate"
"1079",863,"Sandwich"
"1080",863,"Hearty & Seasonal"
"1081",864,"Brownie"
"1082",864,"Hearty & Seasonal"
"1083",864,"Sandwich"
"1084",865,"Medialuna"
"1085",866,"Brownie"
"1086",866,"Soup"
"1087",867,"Sandwich"
"1088",867,"Sandwich"
"1089",867,"Alfajores"
"1090",867,"Alfajores"
"1091",867,"Focaccia"
"1092",868,"Farm House"
"1093",868,"Tartine"
"1094",871,"Hot chocolate"
"1095",871,"Tea"
"1096",871,"Muffin"
"1097",872,"Pastry"
"1098",873,"Brownie"
"1099",873,"Hearty & Seasonal"
"1100",873,"Soup"
